ID,Hand,XPos,YPos,ZPos,Time
sample123,Right,-0.3699087,0.3921117,0.1621416,18.06492
sample123,Left,-0.3665915,1.582043,0.06863333,18.10688
sample123,Right,-0.3699087,0.3921117,0.1621416,18.10688
sample123,Left,-0.3652326,1.587731,0.0660928,18.14189
sample123,Right,-0.3699087,0.3921117,0.1621416,18.14189
sample123,Left,-0.3636853,1.582437,0.0716259,18.18292
sample123,Right,-0.3699087,0.3921117,0.1621416,18.18292
sample123,Left,-0.3638539,1.563123,0.08426605,18.22334
sample123,Right,-0.3699087,0.3921117,0.1621416,18.22334
sample123,Left,-0.3697183,1.549501,0.09197599,18.25768
sample123,Right,-0.3699087,0.3921117,0.1621416,18.25768
sample123,Left,-0.381847,1.544567,0.09617165,18.2979
sample123,Right,-0.3699087,0.3921117,0.1621416,18.2979
sample123,Left,-0.3999073,1.534397,0.1051213,18.34019
sample123,Right,-0.3699087,0.3921117,0.1621416,18.34019
sample123,Left,-0.4189532,1.522536,0.1136986,18.38376
sample123,Right,-0.3699087,0.3921117,0.1621416,18.38376
sample123,Left,-0.4580075,1.498999,0.1293258,18.42538
sample123,Right,-0.3699087,0.3921117,0.1621416,18.42538
sample123,Left,-0.5031832,1.470957,0.1391618,18.4663
sample123,Right,-0.3699087,0.3921117,0.1621416,18.4663
sample123,Left,-0.5433125,1.446367,0.1409196,18.49898
sample123,Right,-0.3699087,0.3921117,0.1621416,18.49898
sample123,Left,-0.573429,1.429753,0.1336605,18.53386
sample123,Right,-0.3699087,0.3921117,0.1621416,18.53386
sample123,Left,-0.624027,1.402812,0.1173779,18.57253
sample123,Right,-0.3699087,0.3921117,0.1621416,18.57253
sample123,Left,-0.6674024,1.387498,0.09177262,18.61483
sample123,Right,-0.3699087,0.3921117,0.1621416,18.61483
sample123,Left,-0.6912944,1.390619,0.07206739,18.6493
sample123,Right,-0.3699087,0.3921117,0.1621416,18.6493
sample123,Left,-0.7156524,1.399499,0.04781726,18.68884
sample123,Right,-0.3699087,0.3921117,0.1621416,18.68884
sample123,Left,-0.7281783,1.405662,0.03217372,18.72433
sample123,Right,-0.3699087,0.3921117,0.1621416,18.72433
sample123,Left,-0.7372664,1.409535,0.01869456,18.76394
sample123,Right,-0.3699087,0.3921117,0.1621416,18.76394
sample123,Left,-0.7417319,1.413435,0.01012377,18.80533
sample123,Right,-0.3699087,0.3921117,0.1621416,18.80533
sample123,Left,-0.7442498,1.415374,0.0001053883,18.8488
sample123,Right,-0.3699087,0.3921117,0.1621416,18.8488
sample123,Left,-0.7463965,1.414903,-0.007773335,18.88348
sample123,Right,-0.3699087,0.3921117,0.1621416,18.88348
sample123,Left,-0.7483656,1.412803,-0.01667828,18.92426
sample123,Right,-0.3699087,0.3921117,0.1621416,18.92426
sample123,Left,-0.7489858,1.410802,-0.02432192,18.9665
sample123,Right,-0.3699087,0.3921117,0.1621416,18.9665
sample123,Left,-0.7481354,1.410704,-0.02662057,19.0061
sample123,Right,-0.3699087,0.3921117,0.1621416,19.0061
