ID,Hand,XPos,YPos,ZPos,Time
testid,Left,-0.2927364,1.032919,0.1378693,23.51444
testid,Right,-0.133715,1.299738,0.2524728,23.51444
testid,Left,-0.2932699,1.033923,0.139312,23.54735
testid,Right,-0.1336084,1.297864,0.2630186,23.54735
testid,Left,-0.293089,1.034749,0.1369365,23.58245
testid,Right,-0.1349383,1.29453,0.2662464,23.58245
testid,Left,-0.2932522,1.034292,0.1375089,23.61294
testid,Right,-0.1344484,1.293169,0.2612557,23.61294
testid,Left,-0.2925488,1.032283,0.1363757,23.64442
testid,Right,-0.1327178,1.294712,0.2576958,23.64442
testid,Left,-0.2922233,1.030917,0.1371295,23.67659
testid,Right,-0.1313546,1.294044,0.2578583,23.67659
testid,Left,-0.2918366,1.031148,0.1383501,23.71975
testid,Right,-0.1289929,1.287831,0.2615823,23.71975
testid,Left,-0.2913877,1.03275,0.1394207,23.75133
testid,Right,-0.1274197,1.277996,0.2680816,23.75133
testid,Left,-0.2911119,1.034302,0.1402762,23.78401
testid,Right,-0.1255768,1.26276,0.2758208,23.78401
testid,Left,-0.2903606,1.035193,0.1410596,23.82797
testid,Right,-0.1221952,1.236554,0.283926,23.82797
testid,Left,-0.2897778,1.035261,0.1414916,23.86091
testid,Right,-0.1190082,1.213588,0.2871727,23.86091
testid,Left,-0.2893427,1.034671,0.1414882,23.89318
testid,Right,-0.1155919,1.189165,0.2881833,23.89318
testid,Left,-0.2893886,1.03326,0.1412341,23.95875
testid,Right,-0.1070246,1.145093,0.2879064,23.95875
testid,Left,-0.2897072,1.03323,0.1419318,24.00023
testid,Right,-0.1014438,1.124851,0.2848306,24.00023
testid,Left,-0.2897648,1.033524,0.1423622,24.03348
testid,Right,-0.09871096,1.116303,0.2831264,24.03348
testid,Left,-0.2895925,1.033892,0.1424471,24.06268
testid,Right,-0.09808735,1.113174,0.2814407,24.06268
testid,Left,-0.2899189,1.033904,0.1431212,24.09428
testid,Right,-0.09756902,1.108418,0.2792421,24.09428
testid,Left,-0.2896211,1.033972,0.1438882,24.16076
testid,Right,-0.09915933,1.108266,0.2741784,24.16076
testid,Left,-0.289856,1.034509,0.1441976,24.19387
testid,Right,-0.1018718,1.110079,0.2750704,24.19387
testid,Left,-0.2903326,1.035829,0.1439045,24.23219
testid,Right,-0.1041269,1.113915,0.2733298,24.23219
testid,Left,-0.2910938,1.037187,0.143496,24.26812
testid,Right,-0.1076163,1.118018,0.2724953,24.26812
testid,Left,-0.2917003,1.037706,0.1432242,24.29871
testid,Right,-0.1112608,1.121962,0.2728745,24.29871
testid,Left,-0.2922852,1.038148,0.1426823,24.33003
testid,Right,-0.1146846,1.126254,0.2733198,24.33003
testid,Left,-0.2927593,1.038615,0.1416974,24.36188
testid,Right,-0.1191821,1.131552,0.2727343,24.36188
testid,Left,-0.293119,1.038951,0.1408602,24.39379
testid,Right,-0.1252985,1.140703,0.2718605,24.39379
testid,Left,-0.2934542,1.039609,0.1389341,24.42703
testid,Right,-0.1342302,1.154545,0.2718268,24.42703
testid,Left,-0.2933249,1.039933,0.1369521,24.46236
testid,Right,-0.147201,1.171722,0.2694237,24.46236
testid,Left,-0.2927504,1.039596,0.1352397,24.49183
testid,Right,-0.1627726,1.198339,0.2671852,24.49183
testid,Left,-0.2912764,1.039108,0.1330875,24.52366
testid,Right,-0.182873,1.235857,0.2641417,24.52366
testid,Left,-0.2899362,1.039523,0.132906,24.55561
testid,Right,-0.197679,1.26786,0.2626709,24.55561
testid,Left,-0.2869814,1.040753,0.1322439,24.5982
testid,Right,-0.2260877,1.327503,0.2638058,24.5982
testid,Left,-0.2847317,1.042382,0.1319291,24.62927
testid,Right,-0.2473846,1.369786,0.2670814,24.62927
testid,Left,-0.2822416,1.044494,0.1317591,24.66183
testid,Right,-0.2701556,1.405914,0.271985,24.66183
testid,Left,-0.2794296,1.047149,0.1318826,24.69375
testid,Right,-0.2954683,1.432929,0.2772956,24.69375
testid,Left,-0.2763171,1.050481,0.132165,24.72638
testid,Right,-0.3203307,1.455077,0.2829631,24.72638
testid,Left,-0.2732546,1.053403,0.1313839,24.75934
testid,Right,-0.3433253,1.473381,0.2875595,24.75934
testid,Left,-0.2700393,1.055567,0.1300634,24.7917
testid,Right,-0.366147,1.483721,0.289391,24.7917
testid,Left,-0.2678268,1.056325,0.1290791,24.82325
testid,Right,-0.3796435,1.487303,0.2928767,24.82325
testid,Left,-0.2648714,1.056853,0.1267769,24.85546
testid,Right,-0.3979959,1.49485,0.29762,24.85546
testid,Left,-0.2624411,1.056488,0.1239097,24.88885
testid,Right,-0.4150574,1.498689,0.2999684,24.88885
testid,Left,-0.2601302,1.055759,0.1186185,24.93272
