ID,Hand,XPos,YPos,ZPos,Time
jacqui,Right,0.08020537,1.284134,0.5514258,19.94361
jacqui,Left,-0.5287212,1.123271,0.4857819,20.00672
jacqui,Right,0.04031266,1.275082,0.6035597,20.00672
jacqui,Left,-0.541398,1.125218,0.4801779,20.05934
jacqui,Right,-0.005947975,1.264805,0.6507035,20.05934
jacqui,Left,-0.5507538,1.126187,0.4746953,20.10288
jacqui,Right,-0.04541631,1.255391,0.6834453,20.10288
jacqui,Left,-0.5584723,1.127314,0.4681029,20.14966
jacqui,Right,-0.08440042,1.244703,0.7105159,20.14966
jacqui,Left,-0.5652376,1.128681,0.4606231,20.19011
jacqui,Right,-0.1202286,1.234035,0.7330619,20.19011
jacqui,Left,-0.5721269,1.130733,0.4500374,20.24293
jacqui,Right,-0.1631315,1.220009,0.7546825,20.24293
jacqui,Left,-0.5771903,1.132462,0.4383776,20.29564
jacqui,Right,-0.2030029,1.208208,0.7702753,20.29564
jacqui,Left,-0.579815,1.13348,0.4288442,20.34751
jacqui,Right,-0.2332088,1.203417,0.7794681,20.34751
jacqui,Left,-0.5818673,1.134089,0.4193889,20.39407
jacqui,Right,-0.2647547,1.197575,0.7842812,20.39407
jacqui,Left,-0.5834225,1.134632,0.4096817,20.44059
jacqui,Right,-0.2936159,1.192536,0.7866556,20.44059
jacqui,Left,-0.5847496,1.136004,0.395523,20.50012
jacqui,Right,-0.3305362,1.187533,0.7870738,20.50012
jacqui,Left,-0.5853632,1.137627,0.3821603,20.56255
jacqui,Right,-0.3572763,1.181162,0.7843966,20.56255
jacqui,Left,-0.5850753,1.139231,0.3740232,20.61273
jacqui,Right,-0.3687948,1.178256,0.7814288,20.61273
jacqui,Left,-0.5850823,1.139802,0.3667704,20.65935
jacqui,Right,-0.3763314,1.179566,0.77975,20.65935
jacqui,Left,-0.5848781,1.139336,0.3605466,20.70272
jacqui,Right,-0.3792009,1.182043,0.7795539,20.70272
jacqui,Left,-0.5844074,1.138335,0.3555483,20.74585
jacqui,Right,-0.3785464,1.187597,0.7804136,20.74585
jacqui,Left,-0.5836553,1.137371,0.3523635,20.79284
jacqui,Right,-0.3737259,1.196803,0.7832558,20.79284
jacqui,Left,-0.5825414,1.136957,0.3501689,20.84356
jacqui,Right,-0.3682534,1.211109,0.7821085,20.84356
jacqui,Left,-0.58168,1.138401,0.350593,20.90652
jacqui,Right,-0.3502805,1.238073,0.7908033,20.90652
jacqui,Left,-0.5802891,1.141576,0.3528259,20.96155
jacqui,Right,-0.3330741,1.263494,0.8003106,20.96155
jacqui,Left,-0.5794953,1.144635,0.3580588,21.02489
jacqui,Right,-0.3065142,1.309591,0.8156308,21.02489
jacqui,Left,-0.5785733,1.14625,0.3626339,21.07207
jacqui,Right,-0.2871446,1.342875,0.8265198,21.07207
jacqui,Left,-0.5767826,1.148265,0.367546,21.11343
jacqui,Right,-0.2691771,1.37343,0.8354181,21.11343
jacqui,Left,-0.574186,1.150468,0.3723788,21.16255
jacqui,Right,-0.254144,1.397457,0.8427005,21.16255
jacqui,Left,-0.5648968,1.153632,0.3813879,21.27544
jacqui,Right,-0.2346978,1.422849,0.8486722,21.27544
jacqui,Left,-0.5524274,1.150448,0.3862823,21.36378
jacqui,Right,-0.2246263,1.42403,0.8391324,21.36378
jacqui,Left,-0.5491081,1.14515,0.3827238,21.46373
jacqui,Right,-0.2150028,1.385475,0.8107158,21.46373
jacqui,Left,-0.5518658,1.137719,0.3794544,21.52812
jacqui,Right,-0.2045906,1.344402,0.7830192,21.52812
jacqui,Left,-0.5554428,1.129781,0.3770092,21.58399
jacqui,Right,-0.1993256,1.302198,0.7364438,21.58399
jacqui,Left,-0.5569609,1.127339,0.3772141,21.64395
jacqui,Right,-0.1979853,1.288226,0.6973549,21.64395
jacqui,Left,-0.5593142,1.127364,0.3792953,21.70617
jacqui,Right,-0.2097008,1.285636,0.6272051,21.70617
jacqui,Left,-0.5641466,1.130295,0.3840396,21.77084
jacqui,Right,-0.2238063,1.29917,0.573003,21.77084
jacqui,Left,-0.5660518,1.135,0.3895362,21.83486
jacqui,Right,-0.2403396,1.319835,0.542093,21.83486
jacqui,Left,-0.5631596,1.141226,0.3943033,21.90258
jacqui,Right,-0.2491433,1.342845,0.5305009,21.90258
jacqui,Left,-0.5609002,1.145099,0.396577,21.96821
jacqui,Right,-0.2558871,1.368717,0.5237076,21.96821
jacqui,Left,-0.5584331,1.148098,0.3955671,22.02893
jacqui,Right,-0.2605703,1.379677,0.5354763,22.02893
jacqui,Left,-0.5579435,1.1475,0.3935502,22.09195
jacqui,Right,-0.2628064,1.392561,0.5647821,22.09195
jacqui,Left,-0.5578954,1.145702,0.3914356,22.15056
jacqui,Right,-0.2649985,1.40519,0.5991961,22.15056
jacqui,Left,-0.559862,1.141982,0.3864064,22.2146
jacqui,Right,-0.2619755,1.412976,0.6468052,22.2146
jacqui,Left,-0.5628408,1.140514,0.3815652,22.2822
jacqui,Right,-0.2576984,1.415869,0.6879009,22.2822
jacqui,Left,-0.5673571,1.140649,0.3768476,22.34624
jacqui,Right,-0.2563869,1.419296,0.7190831,22.34624
jacqui,Left,-0.5741769,1.141856,0.3709597,22.41396
jacqui,Right,-0.2470375,1.42368,0.7542134,22.41396
jacqui,Left,-0.5828842,1.143562,0.3637847,22.4821
jacqui,Right,-0.2226166,1.426421,0.7946178,22.4821
jacqui,Left,-0.5961634,1.145483,0.3508157,22.5719
jacqui,Right,-0.1767245,1.435706,0.8462523,22.5719
jacqui,Left,-0.6046982,1.147227,0.3414168,22.63778
jacqui,Right,-0.1718335,1.447867,0.8692203,22.63778
jacqui,Left,-0.6111146,1.148214,0.3343772,22.70241
jacqui,Right,-0.2165174,1.465826,0.8818472,22.70241
jacqui,Left,-0.6137918,1.15226,0.3307306,22.77096
jacqui,Right,-0.3128653,1.480722,0.8834868,22.77096
jacqui,Left,-0.6131558,1.160339,0.3277624,22.83777
jacqui,Right,-0.4293218,1.481091,0.8696932,22.83777
jacqui,Left,-0.612208,1.169937,0.3218177,22.90411
jacqui,Right,-0.542433,1.468759,0.8378748,22.90411
jacqui,Left,-0.6123999,1.178189,0.3114804,22.97602
jacqui,Right,-0.6329474,1.4552,0.7947304,22.97602
jacqui,Left,-0.6133826,1.186334,0.2972318,23.03731
jacqui,Right,-0.703653,1.440081,0.7529965,23.03731
jacqui,Left,-0.6150222,1.191082,0.280689,23.10437
jacqui,Right,-0.7511125,1.429606,0.71672,23.10437
jacqui,Left,-0.6163554,1.193669,0.2665196,23.17436
jacqui,Right,-0.7832906,1.421419,0.6975905,23.17436
jacqui,Left,-0.6162492,1.199499,0.2605684,23.23685
jacqui,Right,-0.7985033,1.408471,0.6837177,23.23685
jacqui,Left,-0.615824,1.20919,0.2640217,23.30182
jacqui,Right,-0.7901326,1.390461,0.6751046,23.30182
jacqui,Left,-0.618774,1.227385,0.2782771,23.36446
jacqui,Right,-0.7603024,1.371326,0.6703491,23.36446
jacqui,Left,-0.6225488,1.253953,0.3114186,23.44755
jacqui,Right,-0.6964881,1.341577,0.6631553,23.44755
jacqui,Left,-0.6382827,1.317158,0.3826847,23.54709
jacqui,Right,-0.564263,1.263228,0.6104969,23.54709
jacqui,Left,-0.6810631,1.393591,0.5155259,23.66199
jacqui,Right,-0.4113803,1.151895,0.4925112,23.66199
jacqui,Left,-0.6956197,1.406278,0.5908098,23.74877
jacqui,Right,-0.3498623,1.110463,0.4495589,23.74877
jacqui,Left,-0.6863408,1.420329,0.6458549,23.81235
jacqui,Right,-0.297307,1.068155,0.4157314,23.81235
jacqui,Left,-0.6910812,1.444851,0.6901936,23.90259
jacqui,Right,-0.2334186,1.011598,0.3830552,23.90259
jacqui,Left,-0.9109724,1.461061,0.6187495,24.0938
jacqui,Right,-0.1194097,0.8699167,0.2974529,24.0938
jacqui,Left,-1.000173,1.419651,0.4862403,24.21496
jacqui,Right,-0.1161809,0.8513662,0.2825293,24.21496
jacqui,Left,-1.034345,1.346226,0.3731262,24.29924
jacqui,Right,-0.1244537,0.8394731,0.2864476,24.29924
jacqui,Left,-1.023502,1.287358,0.3282977,24.36198
jacqui,Right,-0.1350566,0.8393478,0.3114937,24.36198
jacqui,Left,-0.9594387,1.231644,0.3839895,24.48196
jacqui,Right,-0.1707893,0.8599632,0.3842354,24.48196
jacqui,Left,-0.9095218,1.246027,0.4708421,24.56936
jacqui,Right,-0.1886168,0.878204,0.4152826,24.56936
jacqui,Left,-0.8626914,1.27824,0.5450736,24.63179
jacqui,Right,-0.1999428,0.8949111,0.4382245,24.63179
jacqui,Left,-0.8120731,1.322385,0.6133954,24.69284
jacqui,Right,-0.2026601,0.9077896,0.450245,24.69284
jacqui,Left,-0.7602356,1.377104,0.6649374,24.77471
jacqui,Right,-0.1936012,0.9155369,0.4491347,24.77471
jacqui,Left,-0.7329064,1.400964,0.6885573,24.8317
jacqui,Right,-0.1832715,0.9150341,0.4403699,24.8317
jacqui,Left,-0.7022542,1.427379,0.7174552,24.89552
jacqui,Right,-0.1656433,0.9091817,0.4223527,24.89552
jacqui,Left,-0.6749826,1.442357,0.738964,24.96136
jacqui,Right,-0.1437294,0.8976915,0.3974192,24.96136
jacqui,Left,-0.6405756,1.455476,0.761682,25.02579
jacqui,Right,-0.111572,0.8789496,0.3616986,25.02579
jacqui,Left,-0.6267134,1.45627,0.7684809,25.0837
jacqui,Right,-0.09634791,0.8683482,0.342294,25.0837
jacqui,Left,-0.6056779,1.45285,0.7790461,25.14783
jacqui,Right,-0.07645608,0.8554497,0.3167908,25.14783
jacqui,Left,-0.5906065,1.450499,0.7817974,25.20997
jacqui,Right,-0.06044825,0.8450396,0.2954208,25.20997
jacqui,Left,-0.5838503,1.446252,0.7754473,25.27324
jacqui,Right,-0.05362594,0.8376191,0.2832308,25.27324
jacqui,Left,-0.5684007,1.425496,0.7649308,25.34045
jacqui,Right,-0.04480162,0.8261703,0.2668151,25.34045
jacqui,Left,-0.5507729,1.391392,0.7472996,25.39858
jacqui,Right,-0.03933869,0.8177263,0.2543139,25.39858
jacqui,Left,-0.5147794,1.342455,0.6996206,25.48317
jacqui,Right,-0.0366027,0.8102244,0.2437908,25.48317
jacqui,Left,-0.4740188,1.296798,0.6538475,25.54518
jacqui,Right,-0.03497396,0.8079095,0.2427324,25.54518
jacqui,Left,-0.4512151,1.275936,0.5998237,25.60653
jacqui,Right,-0.03328375,0.8109069,0.2504955,25.60653
jacqui,Left,-0.4324658,1.255292,0.5646364,25.66785
jacqui,Right,-0.03352958,0.8147884,0.2598178,25.66785
jacqui,Left,-0.4165783,1.22555,0.5169999,25.729
jacqui,Right,-0.03801005,0.8217324,0.272656,25.729
jacqui,Left,-0.4069779,1.200763,0.4754736,25.79161
jacqui,Right,-0.0475014,0.8330957,0.2873912,25.79161
jacqui,Left,-0.4112861,1.195691,0.4407609,25.85759
jacqui,Right,-0.06195895,0.8463156,0.3004078,25.85759
